,Pin,Dispatch Center,Origin Center,Return Center,Facility City,Facility State,ODA
76,140407,SirhindFatehgarh_DC (Punjab),SirhindFatehgarh_DC (Punjab),SirhindFatehgarh_DC (Punjab),Sirhind-Fategarh,Punjab,FALSE
77,212662,Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad,Uttar Pradesh,TRUE
78,205301,Mainpuri_UdetpurAbhai_I (Uttar Pradesh),Mainpuri_UdetpurAbhai_I (Uttar Pradesh),Mainpuri_UdetpurAbhai_I (Uttar Pradesh),Mainpuri,Uttar Pradesh,TRUE
79,602117,Chennai_Sriperumbudur_GW (Tamil Nadu),Chennai_Sriperumbudur_GW (Tamil Nadu),Chennai_Sriperumbudur_GW (Tamil Nadu),Sriperumbudur,Tamil Nadu,FALSE
80,814151,Dumka_Hansdiha1_D (Jharkhand),Dumka_Hansdiha1_D (Jharkhand),Dumka_Hansdiha1_D (Jharkhand),Dumka,Jharkhand,FALSE
81,474008,Gwalior_Nayagaon_P (Madhya Pradesh),Gwalior_Nayagaon_P (Madhya Pradesh),Gwalior_Nayagaon_P (Madhya Pradesh),Gwalior,Madhya Pradesh,FALSE
82,781136,Chhaygaon_TukuraPara_D (Assam),Chhaygaon_TukuraPara_D (Assam),Chhaygaon_TukuraPara_D (Assam),Chhaygaon,Assam,FALSE
83,828115,Dhanbad_Tilabani_H (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),Dhanbad_Tilabani_H (Jharkhand),Dhanbad,Jharkhand,FALSE
84,585259,Aurad_CBColony_D (Karnataka),Aurad_CBColony_D (Karnataka),Aurad_CBColony_D (Karnataka),Aurad,Karnataka,TRUE
85,571478,Mandya_Gandhinagar_D (Karnataka),Mandya_Gandhinagar_D (Karnataka),Mandya_Gandhinagar_D (Karnataka),Mandya,Karnataka,TRUE
86,522235,Guntur_Kornepadu_I (Andhra Pradesh),Guntur_Kornepadu_I (Andhra Pradesh),Guntur_Kornepadu_I (Andhra Pradesh),Guntur,Andhra Pradesh,TRUE
87,500594,Hyderabad_Ravindranagar_L (Telangana),Hyderabad_Ravindranagar_L (Telangana),Hyderabad_Ravindranagar_L (Telangana),Hyderabad,Telangana,FALSE
88,630204,Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi,Tamil Nadu,TRUE
89,576231,Kundapura_Vaderhobli_D (Karnataka),Kundapura_Vaderhobli_D (Karnataka),Kundapura_Vaderhobli_D (Karnataka),Kundapura,Karnataka,TRUE
90,229215,Lalganj_AzadNgrRd_D (Uttar Pradesh),Lalganj_AzadNgrRd_D (Uttar Pradesh),Lalganj_AzadNgrRd_D (Uttar Pradesh),Lalganj,Uttar Pradesh,TRUE
91,423110,Chandwad_MarketYrd_DPP (Maharashtra),Chandwad_MarketYrd_DPP (Maharashtra),Chandwad_MarketYrd_DPP (Maharashtra),Chandwad,Maharashtra,FALSE
92,581326,Karwar_Chendiya_D (Karnataka),Karwar_Chendiya_D (Karnataka),Karwar_Chendiya_D (Karnataka),Karwar,Karnataka,TRUE
93,208024,Kanpur_Kataraghan_H (Uttar Pradesh),Kanpur_Kataraghan_H (Uttar Pradesh),Kanpur_Kataraghan_H (Uttar Pradesh),Kanpur,Uttar Pradesh,FALSE
94,571601,Mysore_Hebbalestate_H (Karnataka),Mysore_Hebbalestate_H (Karnataka),Mysore_Hebbalestate_H (Karnataka),Mysore,Karnataka,TRUE
95,582116,Gadag_Laxmeshwar_D (Karnataka),Gadag_Laxmeshwar_D (Karnataka),Gadag_Laxmeshwar_D (Karnataka),Gadag,Karnataka,TRUE
96,629181,Marthandam_Chiraynkuzhi_D (Tamil Nadu),Marthandam_Chiraynkuzhi_D (Tamil Nadu),Marthandam_Chiraynkuzhi_D (Tamil Nadu),Marthandam,Tamil Nadu,TRUE
97,521101,Vijayawada_Gudavalli_H (Andhra Pradesh),Vijayawada_Gudavalli_H (Andhra Pradesh),Vijayawada_Gudavalli_H (Andhra Pradesh),Vijayawada,Andhra Pradesh,FALSE
98,695588,Trivandrum_Chelamangalm_L (Kerala),Trivandrum_Chelamangalm_L (Kerala),Trivandrum_Chelamangalm_L (Kerala),Thiruvananthapuram,Kerala,FALSE
99,639119,Kulithalai_CaveryNagar_D (Tamil Nadu),Kulithalai_CaveryNagar_D (Tamil Nadu),Kulithalai_CaveryNagar_D (Tamil Nadu),Kulithalai,Tamil Nadu,TRUE
100,643223,Gudalur_Devarshola_DPP (Tamil Nadu),Gudalur_Devarshola_DPP (Tamil Nadu),Gudalur_Devarshola_DPP (Tamil Nadu),Gudalur,Tamil Nadu,TRUE
101,413725,Shrirampur_Ward5_D (Maharashtra),Shrirampur_Ward5_D (Maharashtra),Shrirampur_Ward5_D (Maharashtra),Shrirampur,Maharashtra,TRUE
102,341306,Sujangarh_Ward26_D (Rajasthan),Sujangarh_Ward26_D (Rajasthan),Sujangarh_Ward26_D (Rajasthan),Sujangarh,Rajasthan,FALSE
103,560057,Bangalore_Nelamangla_H (Karnataka),Bangalore_Nelamangla_H (Karnataka),Bangalore_Nelamangla_H (Karnataka),Bangalore,Karnataka,FALSE
104,712205,Kolkata_Dankuni_GW (West Bengal),Kolkata_Dankuni_GW (West Bengal),Kolkata_Dankuni_GW (West Bengal),Dankuni,West Bengal,FALSE
105,230127,Patti_Baheliyapur_D (Uttar Pradesh),Patti_Baheliyapur_D (Uttar Pradesh),Patti_Baheliyapur_D (Uttar Pradesh),Patti-UP,Uttar Pradesh,TRUE
106,123027,MahendragarhHR_Khaira_D (Haryana),MahendragarhHR_Khaira_D (Haryana),MahendragarhHR_Khaira_D (Haryana),Mahendragarh-HR,Haryana,TRUE
107,221711,Mau_Chriayakot_D (Uttar Pradesh),Mau_Chriayakot_C (Uttar Pradesh),Mau_Chriayakot_C (Uttar Pradesh),Mau,Uttar Pradesh,TRUE
108,271201,Balrampur_SahabNager_D (Uttar Pradesh),Balrampur_SahabNager_D (Uttar Pradesh),Balrampur_SahabNager_D (Uttar Pradesh),Balrampur,Uttar Pradesh,TRUE
109,482007,Jabalpur_Temp2_L (Madhya Pradesh),Jabalpur_Temp2_L (Madhya Pradesh),Jabalpur_Temp2_L (Madhya Pradesh),Jabalpur,Madhya Pradesh,FALSE
110,623004,Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi,Tamil Nadu,TRUE
111,721303,Kharagpur_Nimpura_I (West Bengal),Kharagpur_Nimpura_I (West Bengal),Kharagpur_Nimpura_I (West Bengal),Kharagpur,West Bengal,FALSE
112,284203,Mauranipur_NehruNagar_D (Uttar Pradesh),Mauranipur_NehruNagar_D (Uttar Pradesh),Mauranipur_NehruNagar_D (Uttar Pradesh),Mauranipur,Uttar Pradesh,TRUE
113,325214,Itawa_GentaRd_DPP (Rajasthan),Itawa_GentaRd_DPP (Rajasthan),Itawa_GentaRd_DPP (Rajasthan),Itawa,Rajasthan,TRUE
114,642119,Pollachi_MahalakshmiNgr_D (Tamil Nadu),Pollachi_MahalakshmiNgr_D (Tamil Nadu),Pollachi_MahalakshmiNgr_D (Tamil Nadu),Pollachi,Tamil Nadu,TRUE
115,403003,Goa_Mapusa_L (Goa),Goa_Mapusa_L (Goa),Goa_Mapusa_L (Goa),Goa,Goa,FALSE
116,712149,Pandua_NvplyDPP_D (West Bengal),Pandua_NvplyDPP_D (West Bengal),Pandua_NvplyDPP_D (West Bengal),Pandua,West Bengal,TRUE
117,441001,Nagpur_Chikhali1_L (Maharashtra),Nagpur_Chikhali1_L (Maharashtra),Nagpur_Chikhali1_L (Maharashtra),Nagpur,Maharashtra,TRUE
118,390013,Vadodara_Dashrath_H (Gujarat),Vadodara_Temp_H (Gujarat),Vadodara_Dashrath_H (Gujarat),Vadodara,Gujarat,FALSE
119,631105,Chennai_Sriperumbudur_GW (Tamil Nadu),Chennai_Sriperumbudur_GW (Tamil Nadu),Chennai_Sriperumbudur_GW (Tamil Nadu),Sriperumbudur,Tamil Nadu,TRUE
120,191121,Srinagar_Ladhoo_H (Jammu & Kashmir),Srinagar_Ladhoo_H (Jammu & Kashmir),Srinagar_Ladhoo_H (Jammu & Kashmir),Srinagar,Jammu & Kashmir,TRUE
121,754289,Kendrapara_Chhagharia_D (Orissa),Kendrapara_Chhagharia_D (Orissa),Kendrapara_Chhagharia_D (Orissa),Kendrapara,Orissa,FALSE
122,577233,Shimoga_Eshwariah_I (Karnataka),Shimoga_Eshwariah_I (Karnataka),Shimoga_Eshwariah_I (Karnataka),Shimoga,Karnataka,TRUE
