,Pin,Dispatch Center,Origin Center,Return Center,Facility City,Facility State,ODA
11220,756182,Bhadrak_Purusandha_D (Orissa),Bhadrak_Purusandha_D (Orissa),Bhadrak_Purusandha_D (Orissa),Bhadrak,Orissa,FALSE
11221,782413,Nagaon_Bangthai_H (Assam),Nagaon_Bangthai_H (Assam),Nagaon_Bangthai_H (Assam),Nagaon,Assam,TRUE
11222,271122,Gonda_AmanColony_D (Uttar Pradesh),Gonda_AmanColony_D (Uttar Pradesh),Gonda_AmanColony_D (Uttar Pradesh),Gonda,Uttar Pradesh,TRUE
11223,630106,Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi,Tamil Nadu,FALSE
11224,502249,Zahirabad_Shantinagar_D (Telangana),Zahirabad_Shantinagar_D (Telangana),Zahirabad_Shantinagar_D (Telangana),Zahirabad,Telangana,TRUE
11225,143534,Dinanagar_AryaNagar_D (Punjab),Dinanagar_AryaNagar_D (Punjab),Dinanagar_AryaNagar_D (Punjab),Dinanagar,Punjab,TRUE
11226,508233,Kodad_Nayanagar_D (Telangana),Kodad_Nayanagar_D (Telangana),Kodad_Nayanagar_D (Telangana),Kodad,Telangana,FALSE
11227,413701,Shrigonda_Adhalgaon_D (Maharashtra),Shrigonda_Adhalgaon_D (Maharashtra),Shrigonda_Adhalgaon_D (Maharashtra),Shrigonda,Maharashtra,TRUE
11228,560092,Bangalore_RKHegdeNagar_L (Karnataka),Bangalore_RKHegdeNagar_L (Karnataka),Bangalore_RKHegdeNagar_L (Karnataka),Bangalore,Karnataka,FALSE
11229,627901,Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli,Tamil Nadu,TRUE
11230,384160,Mehsana_DediysnGIDC_I (Gujarat),Mehsana_DediysnGIDC_I (Gujarat),Mehsana_DediysnGIDC_I (Gujarat),Mehsana,Gujarat,FALSE
11231,624316,Dindigul_Kottapatti_D (Tamil Nadu),Dindigul_Kottapatti_D (Tamil Nadu),Dindigul_Kottapatti_D (Tamil Nadu),Dindigul,Tamil Nadu,TRUE
11232,530047,Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam,Andhra Pradesh,FALSE
11233,503144,Kamareddy_AshokNgr_D (Telangana),Kamareddy_AshokNgr_D (Telangana),Kamareddy_AshokNgr_D (Telangana),Kamareddy,Telangana,TRUE
11234,533346,Mandapeta_Gandhinagar_D (Andhra Pradesh),Mandapeta_Gandhinagar_D (Andhra Pradesh),Mandapeta_Gandhinagar_D (Andhra Pradesh),Mandapeta,Andhra Pradesh,TRUE
11235,712615,Arambag_BalibDPP_D (West Bengal),Arambag_BalibDPP_D (West Bengal),Arambag_BalibDPP_D (West Bengal),Arambag,West Bengal,TRUE
11236,174030,Dulchehra_Rapar_DPP (Himachal Pradesh),Dulchehra_Rapar_DPP (Himachal Pradesh),Dulchehra_Rapar_DPP (Himachal Pradesh),Dulchehra,Himachal Pradesh,FALSE
11237,721433,Contai_Bankaberya_D (West Bengal),Contai_Bankaberya_D (West Bengal),Contai_Bankaberya_D (West Bengal),Contai,West Bengal,TRUE
11238,332410,Sikar_GokulVihar_D (Rajasthan),Sikar_GokulVihar_D (Rajasthan),Sikar_GokulVihar_D (Rajasthan),Sikar,Rajasthan,TRUE
11239,441216,Gondia_Mundipar_I (Maharashtra),Gondia_Mundipar_I (Maharashtra),Gondia_Mundipar_I (Maharashtra),Gondia,Maharashtra,
11240,621729,Ariyalur_MINNagar_D (Tamil Nadu),Ariyalur_MINNagar_D (Tamil Nadu),Ariyalur_MINNagar_D (Tamil Nadu),Ariyalur,Tamil Nadu,TRUE
11241,382018,Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad,Gujarat,FALSE
11242,833218,Noamundi_Toretopa_D (Jharkhand),Noamundi_Toretopa_D (Jharkhand),Noamundi_Toretopa_D (Jharkhand),Noamundi,Jharkhand,TRUE
11243,480105,Sausar_Ward10_DPP (Madhya Pradesh),Sausar_Ward10_DPP (Madhya Pradesh),Sausar_Ward10_DPP (Madhya Pradesh),Sausar,Madhya Pradesh,TRUE
11244,394317,Surat_Kadodara1_L (Gujarat),Surat_Kacholi_GW (Gujarat),Surat_Kadodara1_L (Gujarat),Kadodara,Gujarat,FALSE
11245,507163,Khammam_Mudigonda_H (Telangana),Khammam_Mudigonda_H (Telangana),Khammam_Mudigonda_H (Telangana),Khammam,Telangana,FALSE
11246,814114,Deoghar_Bmpstwn_D (Jharkhand),Deoghar_Bmpstwn_D (Jharkhand),Deoghar_Bmpstwn_D (Jharkhand),Deoghar,Jharkhand,TRUE
11247,631304,Sholinghur_RajeshNagar_D (Tamil Nadu),Sholinghur_RajeshNagar_D (Tamil Nadu),Sholinghur_RajeshNagar_D (Tamil Nadu),Sholinghur,Tamil Nadu,TRUE
11248,388360,Anand_VitthalUdyogNgr_D (Gujarat),Anand_VitthalUdyogNgr_D (Gujarat),Anand_VitthalUdyogNgr_D (Gujarat),Anand,Gujarat,FALSE
11249,678685,Nenmara_Vadakkencherry_D (Kerala),Nenmara_Vadakkencherry_D (Kerala),Nenmara_Vadakkencherry_D (Kerala),Nenmara,Kerala,TRUE
11250,384350,Satlasana_Hndutmpl_DPP (Gujarat),Satlasana_Hndutmpl_DPP (Gujarat),Satlasana_Hndutmpl_DPP (Gujarat),Satlasana,Gujarat,FALSE
11251,799250,Dharmanagar_Ward3_D (Tripura),NSZ,Dharmanagar_Ward3_D (Tripura),Dharmanagar,Tripura,TRUE
11252,756167,Bhadrak_Mathasahi_I (Orissa),Bhadrak_Mathasahi_I (Orissa),Bhadrak_Mathasahi_I (Orissa),Bhadrak,Orissa,TRUE
11253,591344,Gokak_APMCRd_D (Karnataka),Gokak_APMCRd_D (Karnataka),Gokak_APMCRd_D (Karnataka),Gokak,Karnataka,TRUE
11254,625501,Madurai_Avaniyapuram_H (Tamil Nadu),Madurai_Avaniyapuram_H (Tamil Nadu),Madurai_Avaniyapuram_H (Tamil Nadu),Madurai,Tamil Nadu,FALSE
11255,281005,Mathura_SuryaNagar_D (Uttar Pradesh),Mathura_SuryaNagar_D (Uttar Pradesh),Mathura_SuryaNagar_D (Uttar Pradesh),Mathura,Uttar Pradesh,FALSE
11256,450119,Mundi_GyantriNagar_D (Madhya Pradesh),Mundi_GyantriNagar_D (Madhya Pradesh),Mundi_GyantriNagar_D (Madhya Pradesh),Mundi,Madhya Pradesh,TRUE
11257,321202,Deeg_Rambag_D (Rajasthan),Deeg_Rambag_D (Rajasthan),Deeg_Rambag_D (Rajasthan),Deeg,Rajasthan,TRUE
11258,577125,Thirthahalli_Melinakuruvali2_DPP (Karnataka),Thirthahalli_Melinakuruvali2_DPP (Karnataka),Thirthahalli_Melinakuruvali2_DPP (Karnataka),Thirthahalli,Karnataka,TRUE
11259,521150,Machilipatnam_Chilakalapudi_D (Andhra Pradesh),Machilipatnam_Chilakalapudi_D (Andhra Pradesh),Machilipatnam_Chilakalapudi_D (Andhra Pradesh),Machilipatnam,Andhra Pradesh,TRUE
11260,201005,Ghaziabad_Pasonda_L (Uttar Pradesh),Noida_Bairangpur_GW (Uttar Pradesh),Ghaziabad_Pasonda_L (Uttar Pradesh),Ghaziabad,Uttar Pradesh,FALSE
11261,202143,Khair_DhundhiNagla_D (Uttar Pradesh),Khair_DhundhiNagla_D (Uttar Pradesh),Khair_DhundhiNagla_D (Uttar Pradesh),Khair,Uttar Pradesh,TRUE
11262,424301,Dhule_MohadiUpnagar_I (Maharashtra),Dhule_MohadiUpnagar_I (Maharashtra),Dhule_MohadiUpnagar_I (Maharashtra),Dhule,Maharashtra,FALSE
11263,325225,Baran_Amapura_D (Rajasthan),Baran_Amapura_D (Rajasthan),Baran_Amapura_D (Rajasthan),Baran,Rajasthan,FALSE
11264,673525,Perambra_KayipramRd_D (Kerala),Perambra_KayipramRd_D (Kerala),Perambra_KayipramRd_D (Kerala),Perambra,Kerala,TRUE
11265,461223,SeoniMalwa_Bhlpra_DPP (Madhya Pradesh),SeoniMalwa_Bhlpra_DPP (Madhya Pradesh),SeoniMalwa_Bhlpra_DPP (Madhya Pradesh),Seoni Malwa,Madhya Pradesh,TRUE
11266,470232,Rehli_Ward3_D (Madhya Pradesh),Rehli_Ward3_D (Madhya Pradesh),Rehli_Ward3_D (Madhya Pradesh),Rehli,Madhya Pradesh,TRUE
11267,370650,Naliya_Jlramcpx_D (Gujarat),Naliya_Jlramcpx_D (Gujarat),Naliya_Jlramcpx_D (Gujarat),Naliya,Gujarat,FALSE
11268,246424,Chamoli_Bajpur_D (Uttarakhand),Chamoli_Bajpur_D (Uttarakhand),Chamoli_Bajpur_D (Uttarakhand),Chamoli,Uttarakhand,TRUE
11269,470125,Sagar_Bilehra_DPP (Madhya Pradesh),Sagar_Bilehra_DPP (Madhya Pradesh),Sagar_Bilehra_DPP (Madhya Pradesh),Sagar,Madhya Pradesh,FALSE
11270,494665,Bhanupratappur_Nayapara_D (Chhattisgarh),Bhanupratappur_Nayapara_D (Chhattisgarh),Bhanupratappur_Nayapara_D (Chhattisgarh),Bhanupratappur,Chhattisgarh,FALSE
11271,506132,Narsampet_PakhalRoad_D (Telangana),Narsampet_PakhalRoad_D (Telangana),Narsampet_PakhalRoad_D (Telangana),Narsampet,Telangana,TRUE
11272,151502,Mansa_Budhlada2_D (Punjab),Mansa_Budhlada2_D (Punjab),Mansa_Budhlada2_D (Punjab),Mansa,Punjab,TRUE
11273,755027,Binjharpur_Ragunthapr_D (Orissa),Binjharpur_Ragunthapr_D (Orissa),Binjharpur_Ragunthapr_D (Orissa),Binjharpur,Orissa,TRUE
11274,335026,PadampurRJ_Srikaranpur_D (Rajasthan),PadampurRJ_Srikaranpur_D (Rajasthan),PadampurRJ_Srikaranpur_D (Rajasthan),PadampurRJ,Rajasthan,FALSE
11275,700303,Kolkata_Dankuni_GW (West Bengal),Kolkata_Dankuni_GW (West Bengal),Kolkata_Dankuni_GW (West Bengal),Dankuni,West Bengal,FALSE
11276,503217,Armoor_Kotarmoor_D (Telangana),Armoor_Kotarmoor_D (Telangana),Armoor_Kotarmoor_D (Telangana),Armoor,Telangana,TRUE
11277,533406,Kathipudi_YdvaSt_D (Andhra Pradesh),Kathipudi_YdvaSt_D (Andhra Pradesh),Kathipudi_YdvaSt_D (Andhra Pradesh),Kathipudi,Andhra Pradesh,TRUE
11278,515551,Kadiri_NagireddyPalli_D (Andhra Pradesh),Kadiri_NagireddyPalli_D (Andhra Pradesh),Kadiri_NagireddyPalli_D (Andhra Pradesh),Kadiri,Andhra Pradesh,TRUE
11279,508373,Chandur_ShivajiNagar_D (Telangana),Chandur_ShivajiNagar_D (Telangana),Chandur_ShivajiNagar_D (Telangana),Chandur,Telangana,TRUE
11280,641046,Coimbatore_Chettipalaym_L (Tamil Nadu),Coimbatore_Chettipalaym_L (Tamil Nadu),Coimbatore_Chettipalaym_L (Tamil Nadu),Coimbatore,Tamil Nadu,TRUE
11281,502307,Hyderabad_Patancheru_L (Telangana),Hyderabad_Patancheru_L (Telangana),Hyderabad_Patancheru_L (Telangana),Hyderabad,Telangana,FALSE
11282,497231,Bhatgaon_Bazarpara_D (Chhattisgarh),Bhatgaon_Bazarpara_D (Chhattisgarh),Bhatgaon_Bazarpara_D (Chhattisgarh),Bhatgaon,Chhattisgarh,FALSE
11283,421999,Bhiwandi_Lonad_L (Maharashtra),Bhiwandi_Lonad_GW (Maharashtra),Bhiwandi_Lonad_L (Maharashtra),Greater Thane,Maharashtra,FALSE
11284,141103,Raikot_DC (Punjab),Raikot_DC (Punjab),Raikot_DC (Punjab),Raikot,Punjab,TRUE
11285,414306,Shirur_Karegaon_L (Maharashtra),Shirur_Karegaon_L (Maharashtra),Shirur_Karegaon_L (Maharashtra),Shirur,Maharashtra,FALSE
11286,793114,Marshillong_CHCHosp_D (Meghalaya),Marshillong_CHCHosp_D (Meghalaya),Marshillong_CHCHosp_D (Meghalaya),Marshillong,Meghalaya,FALSE
11287,584143,Manvi_Jayanagar_D (Karnataka),Manvi_Jayanagar_D (Karnataka),Manvi_Jayanagar_D (Karnataka),Manvi,Karnataka,TRUE
11288,518422,Atmakur_GareebNagar_D (Andhra Pradesh),Atmakur_GareebNagar_D (Andhra Pradesh),Atmakur_GareebNagar_D (Andhra Pradesh),Atmakur,Andhra Pradesh,TRUE
11289,486887,Singrauli_Waidhan2_D (Madhya Pradesh),Singrauli_Waidhan2_D (Madhya Pradesh),Singrauli_Waidhan2_D (Madhya Pradesh),Singrauli,Madhya Pradesh,TRUE
11290,441303,Katol_Laxmingr_D (Maharashtra),Katol_Laxmingr_D (Maharashtra),Katol_Laxmingr_D (Maharashtra),Katol,Maharashtra,TRUE
11291,248160,Dehradun_Badowala_H (Uttarakhand),Dehradun_Badowala_H (Uttarakhand),Dehradun_Badowala_H (Uttarakhand),Dehradun,Uttarakhand,FALSE
11292,403110,Goa_Cortalim_H (Goa),Goa_Cortalim_H (Goa),Goa_Cortalim_H (Goa),Goa,Goa,FALSE
11293,503123,Kamareddy_AshokNgr_D (Telangana),Kamareddy_AshokNgr_D (Telangana),Kamareddy_AshokNgr_D (Telangana),Kamareddy,Telangana,TRUE
11294,847227,Khutauna_Ward15_D (Bihar),Khutauna_Ward15_D (Bihar),Khutauna_Ward15_D (Bihar),Khutauna,Bihar,TRUE
11295,415706,Dapoli_Ghimhavane_D (Maharashtra),Dapoli_Ghimhavane_D (Maharashtra),Dapoli_Ghimhavane_D (Maharashtra),Dapoli,Maharashtra,TRUE
11296,734429,Siliguri_Jugibhita_GW (West Bengal),Siliguri_Jugibhita_GW (West Bengal),Siliguri_Jugibhita_GW (West Bengal),Siliguri,West Bengal,TRUE
11297,451550,Barwani_IGcolony_D (Madhya Pradesh),Barwani_IGcolony_D (Madhya Pradesh),Barwani_IGcolony_D (Madhya Pradesh),Barwani,Madhya Pradesh,TRUE
11298,848142,Tajpur_HsptlRd_D (Bihar),Tajpur_HsptlRd_D (Bihar),Tajpur_HsptlRd_D (Bihar),Tajpur,Bihar,TRUE
11299,416437,Sangli_Miraj_D (Maharashtra),Sangli_Miraj_D (Maharashtra),Sangli_Miraj_D (Maharashtra),Sangli,Maharashtra,TRUE
11300,249410,Haridwar_Bahadrabad1_L (Uttarakhand),Haridwar_Bahadrabad1_L (Uttarakhand),Haridwar_Bahadrabad1_L (Uttarakhand),Haridwar,Uttarakhand,FALSE
11301,480110,Chhindwara_Chand_D (Madhya Pradesh),Chhindwara_Chand_D (Madhya Pradesh),Chhindwara_Chand_D (Madhya Pradesh),Chhindwara,Madhya Pradesh,FALSE
11302,761143,Jagannathprasad_Kumpapada_DPP (Orissa),Jagannathprasad_Kumpapada_DPP (Orissa),Jagannathprasad_Kumpapada_DPP (Orissa),Jagannathprasad,Orissa,TRUE
11303,284401,Talbahat_CityRoad_DPP (Uttar Pradesh),Talbahat_CityRoad_DPP (Uttar Pradesh),Talbahat_CityRoad_DPP (Uttar Pradesh),Talbahat,Uttar Pradesh,TRUE
11304,415603,Chiplun_Walope_D (Maharashtra),Chiplun_Walope_D (Maharashtra),Chiplun_Walope_D (Maharashtra),Chiplun,Maharashtra,TRUE
11305,480996,Mandla_Nainpur_D (Madhya Pradesh),Mandla_Nainpur_D (Madhya Pradesh),Mandla_Nainpur_D (Madhya Pradesh),Nainpur,Madhya Pradesh,FALSE
11306,382030,Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad,Gujarat,FALSE
11307,500484,Hyderabad_Temp6_L (Telangana),Hyderabad_Medchal_GW (Telangana),Hyderabad_Temp6_L (Telangana),Medchal,Telangana,FALSE
11308,583153,Bellary_Mundargi_I (Karnataka),Bellary_Mundargi_I (Karnataka),Bellary_Mundargi_I (Karnataka),Bellary,Karnataka,FALSE
11309,456005,Ujjain_Nehrunagar_D (Madhya Pradesh),Ujjain_Nehrunagar_D (Madhya Pradesh),Ujjain_Nehrunagar_D (Madhya Pradesh),Ujjain,Madhya Pradesh,FALSE
11310,628501,Kovilpatti_KadershanKoil_D (Tamil Nadu),Kovilpatti_KadershanKoil_D (Tamil Nadu),Kovilpatti_KadershanKoil_D (Tamil Nadu),Kovilpatti,Tamil Nadu,TRUE
11311,679578,Edappal_Nellissery_D (Kerala),Edappal_Nellissery_D (Kerala),Edappal_Nellissery_D (Kerala),Edappal,Kerala,TRUE
11312,562109,Bangalore_SatelliteTwn_L (Karnataka),Bangalore_SatelliteTwn_L (Karnataka),Bangalore_SatelliteTwn_L (Karnataka),Bangalore,Karnataka,TRUE
11313,627107,Vallioor_RamakrishnPurm_D (Tamil Nadu),Vallioor_RamakrishnPurm_D (Tamil Nadu),Vallioor_RamakrishnPurm_D (Tamil Nadu),Vallioor,Tamil Nadu,TRUE
11314,630411,Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi,Tamil Nadu,TRUE
11315,131102,Panipat_Samalkha1_D (Haryana),Panipat_Samalkha1_D (Haryana),Panipat_Samalkha1_D (Haryana),Samalkha,Haryana,TRUE
11316,486007,Rewa_Godahar_D (Madhya Pradesh),Rewa_Godahar_D (Madhya Pradesh),Rewa_Godahar_D (Madhya Pradesh),Rewa,Madhya Pradesh,TRUE
11317,629171,Marthandam_Chiraynkuzhi_D (Tamil Nadu),Marthandam_Chiraynkuzhi_D (Tamil Nadu),Marthandam_Chiraynkuzhi_D (Tamil Nadu),Marthandam,Tamil Nadu,TRUE
11318,574260,Vitla_FawzBuldng_DPP (Karnataka),Vitla_FawzBuldng_DPP (Karnataka),Vitla_FawzBuldng_DPP (Karnataka),Vitla,Karnataka,TRUE
11319,743248,Kolkata_Dopere_L (West Bengal),Kolkata_Dopere_L (West Bengal),Kolkata_Dopere_L (West Bengal),Kolkata,West Bengal,FALSE
11320,563122,Bangarapet_AMPCClny_D (Karnataka),Bangarapet_AMPCClny_D (Karnataka),Bangarapet_AMPCClny_D (Karnataka),Bangarapet,Karnataka,TRUE
11321,443203,Jalna_Kumbhari_D (Maharashtra),Jalna_Kumbhari_D (Maharashtra),Jalna_Kumbhari_D (Maharashtra),Jalna,Maharashtra,TRUE
11322,689611,Kozhenchery_Melukara_D (Kerala),Kozhenchery_Melukara_D (Kerala),Kozhenchery_Melukara_D (Kerala),Kozhenchery,Kerala,TRUE
11323,384225,Mehsana_DediysnGIDC_I (Gujarat),Mehsana_DediysnGIDC_I (Gujarat),Mehsana_DediysnGIDC_I (Gujarat),Mehsana,Gujarat,TRUE
11324,431001,Aurangabad_Gngapr_H (Maharashtra),Aurangabad_Gngapr_H (Maharashtra),Aurangabad_Gngapr_H (Maharashtra),Aurangabad,Maharashtra,FALSE
11325,560071,Bangalore_Marathahalli_L (Karnataka),Bangalore_Marathahalli_L (Karnataka),Bangalore_Marathahalli_L (Karnataka),Bangalore,Karnataka,FALSE
11326,577411,Sringeri_Kalmetlu_DPP (Karnataka),Sringeri_Kalmetlu_DPP (Karnataka),Sringeri_Kalmetlu_DPP (Karnataka),Sringeri,Karnataka,TRUE
11327,721450,Contai_Bankaberya_D (West Bengal),Contai_Bankaberya_D (West Bengal),Contai_Bankaberya_D (West Bengal),Contai,West Bengal,TRUE
11328,700144,Kolkata_Nazirabad_L (West Bengal),Kolkata_Nazirabad_L (West Bengal),Kolkata_Nazirabad_L (West Bengal),Kolkata,West Bengal,FALSE
11329,577205,Shimoga_Eshwariah_I (Karnataka),Shimoga_Eshwariah_I (Karnataka),Shimoga_Eshwariah_I (Karnataka),Shimoga,Karnataka,TRUE
11330,416516,Sawantwadi_Khaskilwada1_D (Maharashtra),Sawantwadi_Khaskilwada1_D (Maharashtra),Sawantwadi_Khaskilwada1_D (Maharashtra),Sawantwadi,Maharashtra,TRUE
11331,221108,Varanasi_Khajuri_H (Uttar Pradesh),Varanasi_Khajuri_H (Uttar Pradesh),Varanasi_Khajuri_H (Uttar Pradesh),Varanasi,Uttar Pradesh,FALSE
11332,141009,Ludhiana_Barmalipur_H (Punjab),Ludhiana_Barmalipur_H (Punjab),Ludhiana_Barmalipur_H (Punjab),Ludhiana,Punjab,FALSE
11333,175052,Mandi_Mangvayin_D (Himachal Pradesh),Mandi_Mangvayin_D (Himachal Pradesh),Mandi_Mangvayin_D (Himachal Pradesh),Mandi,Himachal Pradesh,FALSE
11334,391775,Vadodara_Dashrath_H (Gujarat),Vadodara_Temp_H (Gujarat),Vadodara_Dashrath_H (Gujarat),Vadodara,Gujarat,FALSE
11335,534392,Kovvur_Samisragudem1_D (Andhra Pradesh),Kovvur_Samisragudem1_D (Andhra Pradesh),Kovvur_Samisragudem1_D (Andhra Pradesh),Kovvur,Andhra Pradesh,
11336,172025,Anni_Dalash2_DPP (Himachal Pradesh),Anni_Dalash2_DPP (Himachal Pradesh),Anni_Dalash2_DPP (Himachal Pradesh),Anni,Himachal Pradesh,FALSE
11337,574203,Puttur_Darbe_D (Karnataka),Puttur_Darbe_D (Karnataka),Puttur_Darbe_D (Karnataka),Puttur,Karnataka,TRUE
11338,261501,Lakhimpur_FunMall_D (Uttar Pradesh),Lakhimpur_FunMall_D (Uttar Pradesh),Lakhimpur_FunMall_D (Uttar Pradesh),Lakhimpur,Uttar Pradesh,TRUE
11339,177040,Hamirpur_Dosarka_D (Himachal Pradesh),Hamirpur_Dosarka_D (Himachal Pradesh),Hamirpur_Dosarka_D (Himachal Pradesh),Hamirpur,Himachal Pradesh,FALSE
11340,572211,Turuvukere_Gondi_D (Karnataka),Turuvukere_Gondi_D (Karnataka),Turuvukere_Gondi_D (Karnataka),Turuvukere,Karnataka,TRUE
11341,493526,BalodaBazar_Pahanda_D (Chhattisgarh),BalodaBazar_Pahanda_D (Chhattisgarh),BalodaBazar_Pahanda_D (Chhattisgarh),Baloda Bazar,Chhattisgarh,FALSE
11342,743127,Kolkata_Dopere_L (West Bengal),Kolkata_Dopere_L (West Bengal),Kolkata_Dopere_L (West Bengal),Kolkata,West Bengal,FALSE
11343,626134,Arupukotai_ShnmugvelNgr_D (Tamil Nadu),Arupukotai_ShnmugvelNgr_D (Tamil Nadu),Arupukotai_ShnmugvelNgr_D (Tamil Nadu),Aruppukkottai,Tamil Nadu,TRUE
11344,509131,AtmakurTS_Somsagar_D (Telangana),AtmakurTS_Somsagar_D (Telangana),AtmakurTS_Somsagar_D (Telangana),Atmakur-TS,Telangana,TRUE
11345,410202,Mumbai_Palaspa_L (Maharashtra),Mumbai_Palaspa_L (Maharashtra),Mumbai_Palaspa_L (Maharashtra),Navi mumbai,Maharashtra,FALSE
11346,628214,Tuticorin_Polpettai_D (Tamil Nadu),Tuticorin_Polpettai_D (Tamil Nadu),Tuticorin_Polpettai_D (Tamil Nadu),Tuticorin,Tamil Nadu,TRUE
11347,232325,Gahmar_KhuduraPthra_DPP (Uttar Pradesh),Gahmar_KhuduraPthra_DPP (Uttar Pradesh),Gahmar_KhuduraPthra_DPP (Uttar Pradesh),Gahmar,Uttar Pradesh,TRUE
11348,141014,Ludhiana_Barmalipur_H (Punjab),Ludhiana_Barmalipur_H (Punjab),Ludhiana_Barmalipur_H (Punjab),Ludhiana,Punjab,FALSE
11349,785663,Sivasagar_Pdinnagar_D (Assam),Sivasagar_Pdinnagar_D (Assam),Sivasagar_Pdinnagar_D (Assam),Sivasagar,Assam,FALSE
11350,392170,Jambusar_Aabadnagar_D (Gujarat),Jambusar_Aabadnagar_D (Gujarat),Jambusar_Aabadnagar_D (Gujarat),Jambusar,Gujarat,TRUE
11351,110402,Delhi_KirtiNgrRamaRd_L (Delhi),Delhi_KirtiNgrRamaRd_L (Delhi),Delhi_KirtiNgrRamaRd_L (Delhi),Delhi,Delhi,FALSE
11352,670745,Mananthavady_Ward6_D (Kerala),Mananthavady_Ward6_D (Kerala),Mananthavady_Ward6_D (Kerala),Mananthavadi,Kerala,TRUE
11353,680619,Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur,Kerala,TRUE
11354,143003,Amritsar_VerkaBypss_I (Punjab),Amritsar_VerkaBypss_I (Punjab),Amritsar_VerkaBypss_I (Punjab),Amritsar,Punjab,FALSE
11355,742161,Khargram_Kandi_D (West Bengal),Khargram_Kandi_D (West Bengal),Khargram_Kandi_D (West Bengal),Khargram,West Bengal,TRUE
11356,742147,Khargram_Kandi_D (West Bengal),Khargram_Kandi_D (West Bengal),Khargram_Kandi_D (West Bengal),Khargram,West Bengal,TRUE
11357,387315,Anand_VitthalUdyogNgr_D (Gujarat),Anand_VitthalUdyogNgr_D (Gujarat),Anand_VitthalUdyogNgr_D (Gujarat),Anand,Gujarat,FALSE
11358,781015,Guwahati_Kaikchi1_L (Assam),Guwahati_KaliPahar_GW (Assam),Guwahati_Kaikchi1_L (Assam),Guwahati,Assam,TRUE
11359,142053,Moga_HardevNagar_I (Punjab),Moga_HardevNagar_I (Punjab),Moga_HardevNagar_I (Punjab),Moga,Punjab,TRUE
11360,673541,Vadakara_Veerancheri_D (Kerala),Vadakara_Veerancheri_D (Kerala),Vadakara_Veerancheri_D (Kerala),Vadakara,Kerala,TRUE
11361,413204,Jamkhed_DaulatCmplex_DPP (Maharashtra),Jamkhed_DaulatCmplex_DPP (Maharashtra),Jamkhed_DaulatCmplex_DPP (Maharashtra),Jamkhed,Maharashtra,FALSE
11362,623001,Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi_Sivaganga_D (Tamil Nadu),Karaikudi,Tamil Nadu,TRUE
11363,333704,Jhunjhunu_ShastriNagar_I (Rajasthan),Jhunjhunu_ShastriNagar_I (Rajasthan),Jhunjhunu_ShastriNagar_I (Rajasthan),Jhunjhunu,Rajasthan,FALSE
11364,571218,Virajpet_TeluguSt_D (Karnataka),Virajpet_TeluguSt_D (Karnataka),Virajpet_TeluguSt_D (Karnataka),Virajpet,Karnataka,TRUE
11365,690566,Tiruvalla_Chennithala_D (Kerala),Tiruvalla_Chennithala_D (Kerala),Tiruvalla_Chennithala_D (Kerala),Tiruvalla,Kerala,TRUE
11366,713519,Nabadwip_Srirampur1_D (West Bengal),Nabadwip_Srirampur1_D (West Bengal),Nabadwip_Srirampur1_D (West Bengal),Nabadwip,West Bengal,TRUE
11367,416416,Sangli_Patrakarnagar_D (Maharashtra),Sangli_Patrakarnagar_D (Maharashtra),Sangli_Patrakarnagar_D (Maharashtra),Sangli,Maharashtra,FALSE
11368,680546,Chiramanangad_Akathiyor_D (Kerala),Chiramanangad_Akathiyor_D (Kerala),Chiramanangad_Akathiyor_D (Kerala),Chiramanangad,Kerala,FALSE
11369,456335,Nagda_Banbana_D (Madhya Pradesh),Nagda_Banbana_D (Madhya Pradesh),Nagda_Banbana_D (Madhya Pradesh),Nagda,Madhya Pradesh,TRUE
11370,581170,Sirsi_Kasturbanagar_D (Karnataka),Sirsi_Kasturbanagar_D (Karnataka),Sirsi_Kasturbanagar_D (Karnataka),Sirsi,Karnataka,
11371,362020,Bhesan_STroad_DPP (Gujarat),Bhesan_STroad_DPP (Gujarat),Bhesan_STroad_DPP (Gujarat),Bhesan,Gujarat,TRUE
11372,575011,Mangalore_Katipalla_H (Karnataka),Mangalore_Katipalla_H (Karnataka),Mangalore_Katipalla_H (Karnataka),Mangalore,Karnataka,FALSE
